case_id,court_name,debtor_order,masked_birth_id
71236/2015,Regional Court in Prague,1-Jan,850524XI/XXXX
71236/2015,Regional Court in Prague,2-Feb,020412BJ/XXXX
38268/2014,Municipal Court in Prague,1-Jan,585528U7/XXXX
80471/2014,Regional Court in Usti nad Labem,1-Jan,030815JR/XXXX
54545/2017,Regional Court in Prague,1-Jan,690523IT/XXXX
22747/2018,Municipal Court in Prague,1-Jan,020804TJ/XXXX
22747/2018,Municipal Court in Prague,2-Feb,040916S5/XXXX
23962/2017,Regional Court in Usti nad Labem,1-Jan,011014V5/XXXX
53488/2017,Regional Court in Brno,1-Jan,7505117P/XXXX
53488/2017,Regional Court in Brno,2-Feb,001128YT/XXXX
38752/2015,Regional Court in Prague,1-Jan,951026FA/XXXX
21181/2016,Regional Court in Prague,1-Jan,720727UU/XXXX
45548/2017,Regional Court in Ostrava,1-Jan,021210V9/XXXX
45548/2017,Regional Court in Ostrava,2-Feb,765925YO/XXXX
50968/2016,Regional Court in Pilsen,1-Jan,0108028W/XXXX
21232/2016,Regional Court in Hradec Kralove,1-Jan,9412135L/XXXX
38667/2014,Regional Court in Hradec Kralove,1-Jan,6111236S/XXXX
38667/2014,Regional Court in Hradec Kralove,2-Feb,5651113I/XXXX
82226/2014,Regional Court in Ostrava,1-Jan,010821GT/XXXX
33780/2017,Regional Court in Pilsen,1-Jan,035208OM/XXXX
38512/2016,Regional Court in Ostrava,1-Jan,016107G8/XXXX
27318/2016,Regional Court in Pilsen,1-Jan,040909AG/XXXX
89647/2015,Regional Court in Ostrava,1-Jan,040603P0/XXXX
82205/2017,Regional Court in Pilsen,1-Jan,011103TJ/XXXX
82205/2017,Regional Court in Pilsen,2-Feb,570110V7/XXXX
21253/2016,Regional Court in Usti nad Labem,1-Jan,0407092N/XXXX
21253/2016,Regional Court in Usti nad Labem,2-Feb,705604NY/XXXX
3799/2015,Regional Court in Hradec Kralove,1-Jan,045403ZD/XXXX
4379/2018,Regional Court in Prague,1-Jan,045601BG/XXXX
30038/2017,Regional Court in Pilsen,1-Jan,04551513/XXXX
30038/2017,Regional Court in Pilsen,2-Feb,031104VS/XXXX
60469/2018,Regional Court in Ceske Budejovice,1-Jan,006121ZD/XXXX
21006/2016,Regional Court in Brno,1-Jan,6002146N/XXXX
47090/2018,Regional Court in Hradec Kralove,1-Jan,8504286M/XXXX
4441/2017,Regional Court in Hradec Kralove,1-Jan,000309JL/XXXX
56028/2017,Regional Court in Prague,1-Jan,75602053/XXXX
29255/2017,Regional Court in Pilsen,1-Jan,736122VX/XXXX
2013/2015,Regional Court in Brno,1-Jan,896208WZ/XXXX
84904/2016,Regional Court in Pilsen,1-Jan,755326TN/XXXX
11011/2015,Regional Court in Usti nad Labem,1-Jan,7756249F/XXXX
65764/2015,Regional Court in Usti nad Labem,1-Jan,041121KK/XXXX
61521/2016,Municipal Court in Prague,1-Jan,0061285W/XXXX
9109/2017,Regional Court in Ceske Budejovice,1-Jan,000921B2/XXXX
79366/2016,Regional Court in Brno,1-Jan,760218OI/XXXX
52374/2018,Regional Court in Usti nad Labem,1-Jan,900721L8/XXXX
64736/2018,Regional Court in Brno,1-Jan,730217YX/XXXX
95317/2014,Regional Court in Brno,1-Jan,835418FJ/XXXX
55874/2017,Regional Court in Ceske Budejovice,1-Jan,010502UN/XXXX
55874/2017,Regional Court in Ceske Budejovice,2-Feb,8802105A/XXXX
52964/2018,Regional Court in Pilsen,1-Jan,025401K6/XXXX
81654/2017,Regional Court in Pilsen,1-Jan,645924XR/XXXX
79215/2014,Regional Court in Ostrava,1-Jan,0105140M/XXXX
51709/2018,Municipal Court in Prague,1-Jan,5956086L/XXXX
51709/2018,Municipal Court in Prague,2-Feb,766106TU/XXXX
72176/2018,Regional Court in Ceske Budejovice,1-Jan,0256283L/XXXX
91710/2016,Regional Court in Prague,1-Jan,6012145R/XXXX
91408/2017,Regional Court in Pilsen,1-Jan,026014H3/XXXX
58432/2018,Regional Court in Hradec Kralove,1-Jan,02561329/XXXX
4396/2015,Regional Court in Ostrava,1-Jan,900209GS/XXXX
12506/2018,Regional Court in Pilsen,1-Jan,021203ZY/XXXX
12506/2018,Regional Court in Pilsen,2-Feb,656223BN/XXXX
81209/2018,Regional Court in Ceske Budejovice,1-Jan,855914Q4/XXXX
81209/2018,Regional Court in Ceske Budejovice,2-Feb,595815XM/XXXX
22229/2016,Regional Court in Brno,1-Jan,8805285G/XXXX
80316/2015,Regional Court in Hradec Kralove,1-Jan,560202GD/XXXX
91257/2016,Regional Court in Pilsen,1-Jan,6856209K/XXXX
17059/2014,Regional Court in Brno,1-Jan,735728QF/XXXX
4037/2016,Regional Court in Brno,1-Jan,705419M3/XXXX
53855/2018,Regional Court in Usti nad Labem,1-Jan,015618I4/XXXX
48920/2018,Regional Court in Brno,1-Jan,87510228/XXXX
52505/2018,Regional Court in Brno,1-Jan,760927WY/XXXX
52505/2018,Regional Court in Brno,2-Feb,030112L7/XXXX
83447/2017,Regional Court in Prague,1-Jan,9804027C/XXXX
74516/2017,Regional Court in Ceske Budejovice,1-Jan,750315YL/XXXX
40008/2015,Regional Court in Ostrava,1-Jan,030616MZ/XXXX
20198/2018,Regional Court in Ostrava,1-Jan,025821GU/XXXX
30579/2014,Regional Court in Ostrava,1-Jan,85522280/XXXX
12725/2015,Municipal Court in Prague,1-Jan,005314B2/XXXX
44914/2017,Regional Court in Prague,1-Jan,860328WT/XXXX
75420/2017,Regional Court in Usti nad Labem,1-Jan,035717K5/XXXX
99796/2015,Regional Court in Prague,1-Jan,045109NF/XXXX
39671/2017,Regional Court in Hradec Kralove,1-Jan,035315NQ/XXXX
11237/2016,Regional Court in Usti nad Labem,1-Jan,045419Y9/XXXX
11237/2016,Regional Court in Usti nad Labem,2-Feb,035222DV/XXXX
95801/2016,Regional Court in Usti nad Labem,1-Jan,6860032R/XXXX
85656/2017,Regional Court in Ostrava,1-Jan,0357135Y/XXXX
85656/2017,Regional Court in Ostrava,2-Feb,005318PX/XXXX
61375/2016,Regional Court in Prague,1-Jan,005126Q1/XXXX
58535/2015,Municipal Court in Prague,1-Jan,005317IE/XXXX
87535/2016,Regional Court in Prague,1-Jan,906024BR/XXXX
71507/2015,Regional Court in Prague,1-Jan,640802ZQ/XXXX
25966/2014,Regional Court in Usti nad Labem,1-Jan,005207ZD/XXXX
32797/2018,Regional Court in Pilsen,1-Jan,700911IO/XXXX
42973/2018,Regional Court in Usti nad Labem,1-Jan,91542491/XXXX
42973/2018,Regional Court in Usti nad Labem,2-Feb,046214I9/XXXX
95838/2015,Regional Court in Usti nad Labem,1-Jan,770305YV/XXXX
1836/2018,Regional Court in Hradec Kralove,1-Jan,640107WT/XXXX
71220/2014,Regional Court in Usti nad Labem,1-Jan,0353046X/XXXX
71220/2014,Regional Court in Usti nad Labem,2-Feb,885527MH/XXXX
86182/2018,Municipal Court in Prague,1-Jan,9058020A/XXXX
91739/2015,Regional Court in Ostrava,1-Jan,591109Y2/XXXX
91739/2015,Regional Court in Ostrava,2-Feb,0054199P/XXXX
91349/2016,Regional Court in Usti nad Labem,1-Jan,000214E4/XXXX
50207/2015,Regional Court in Ceske Budejovice,1-Jan,001010F4/XXXX
36358/2018,Regional Court in Pilsen,1-Jan,905917Q6/XXXX
12101/2014,Regional Court in Pilsen,1-Jan,011017AO/XXXX
48333/2015,Regional Court in Usti nad Labem,1-Jan,046007T6/XXXX
86332/2016,Regional Court in Pilsen,1-Jan,995416KB/XXXX
86332/2016,Regional Court in Pilsen,2-Feb,021223VF/XXXX
90353/2017,Regional Court in Ceske Budejovice,1-Jan,015826I4/XXXX
79372/2018,Municipal Court in Prague,1-Jan,9957182N/XXXX
85545/2017,Municipal Court in Prague,1-Jan,0352016G/XXXX
39722/2018,Regional Court in Pilsen,1-Jan,640610LT/XXXX
16084/2016,Regional Court in Usti nad Labem,1-Jan,656208XB/XXXX
52849/2015,Regional Court in Hradec Kralove,1-Jan,9207130D/XXXX
60972/2015,Regional Court in Brno,1-Jan,950620OP/XXXX
89094/2018,Regional Court in Hradec Kralove,1-Jan,6656239W/XXXX
25523/2015,Regional Court in Brno,1-Jan,7751168C/XXXX
29905/2014,Municipal Court in Prague,1-Jan,655819VZ/XXXX
14423/2017,Regional Court in Ostrava,1-Jan,570809M5/XXXX
28082/2015,Regional Court in Prague,1-Jan,040520YA/XXXX
28082/2015,Regional Court in Prague,2-Feb,026009W6/XXXX
33447/2015,Regional Court in Usti nad Labem,1-Jan,911109QO/XXXX
77278/2016,Regional Court in Pilsen,1-Jan,031122M4/XXXX
64614/2017,Regional Court in Ceske Budejovice,1-Jan,000221T1/XXXX
64614/2017,Regional Court in Ceske Budejovice,2-Feb,035801RC/XXXX
7787/2017,Regional Court in Hradec Kralove,1-Jan,01572156/XXXX
56353/2017,Regional Court in Usti nad Labem,1-Jan,60122666/XXXX
83323/2016,Regional Court in Usti nad Labem,1-Jan,03040368/XXXX
79644/2014,Regional Court in Ceske Budejovice,1-Jan,006110DX/XXXX
84634/2016,Regional Court in Brno,1-Jan,020605OQ/XXXX
53163/2014,Municipal Court in Prague,1-Jan,810723P5/XXXX
86175/2016,Regional Court in Ceske Budejovice,1-Jan,0151085R/XXXX
69551/2015,Regional Court in Ostrava,1-Jan,780324H7/XXXX
75302/2016,Municipal Court in Prague,1-Jan,0461247E/XXXX
98080/2017,Regional Court in Ostrava,1-Jan,7555274N/XXXX
38002/2014,Regional Court in Pilsen,1-Jan,845112CI/XXXX
1835/2017,Regional Court in Brno,1-Jan,956201L0/XXXX
1835/2017,Regional Court in Brno,2-Feb,740207XF/XXXX
61091/2016,Regional Court in Ostrava,1-Jan,636127P4/XXXX
61091/2016,Regional Court in Ostrava,2-Feb,970308IG/XXXX
59925/2014,Regional Court in Prague,1-Jan,685810TG/XXXX
52936/2017,Regional Court in Ostrava,1-Jan,660113SZ/XXXX
83614/2018,Regional Court in Pilsen,1-Jan,005103CS/XXXX
83614/2018,Regional Court in Pilsen,2-Feb,760202T3/XXXX
37681/2015,Regional Court in Prague,1-Jan,045421IV/XXXX
72258/2015,Regional Court in Ostrava,1-Jan,020818VM/XXXX
72258/2015,Regional Court in Ostrava,2-Feb,7905061K/XXXX
70951/2015,Regional Court in Brno,1-Jan,691028OM/XXXX
70951/2015,Regional Court in Brno,2-Feb,010308KM/XXXX
8362/2015,Municipal Court in Prague,1-Jan,555620C8/XXXX
10506/2018,Regional Court in Ostrava,1-Jan,610610K8/XXXX
41215/2017,Regional Court in Prague,1-Jan,556219P2/XXXX
42879/2017,Regional Court in Prague,1-Jan,971124LS/XXXX
56004/2014,Regional Court in Pilsen,1-Jan,790618O6/XXXX
56004/2014,Regional Court in Pilsen,2-Feb,041125EA/XXXX
96942/2015,Regional Court in Pilsen,1-Jan,021020U1/XXXX
71795/2017,Regional Court in Ostrava,1-Jan,585719ZV/XXXX
23391/2015,Municipal Court in Prague,1-Jan,620526PU/XXXX
61956/2016,Regional Court in Brno,1-Jan,01122265/XXXX
63236/2018,Regional Court in Hradec Kralove,1-Jan,806202WX/XXXX
90538/2014,Municipal Court in Prague,1-Jan,04051145/XXXX
15748/2017,Regional Court in Usti nad Labem,1-Jan,0052196I/XXXX
90235/2016,Regional Court in Hradec Kralove,1-Jan,0262083U/XXXX
43056/2016,Regional Court in Usti nad Labem,1-Jan,015807QV/XXXX
26265/2018,Municipal Court in Prague,1-Jan,575802NC/XXXX
26265/2018,Municipal Court in Prague,2-Feb,04572171/XXXX
91289/2018,Regional Court in Brno,1-Jan,915428EE/XXXX
23701/2016,Regional Court in Prague,1-Jan,746223HR/XXXX
50051/2014,Regional Court in Ostrava,1-Jan,9802164L/XXXX
19340/2016,Regional Court in Brno,1-Jan,020713O2/XXXX
67494/2018,Regional Court in Hradec Kralove,1-Jan,0453106U/XXXX
41250/2016,Regional Court in Usti nad Labem,1-Jan,9205157U/XXXX
20762/2015,Municipal Court in Prague,1-Jan,915805KB/XXXX
12539/2017,Regional Court in Pilsen,1-Jan,82581302/XXXX
46134/2015,Regional Court in Usti nad Labem,1-Jan,7453032J/XXXX
53873/2018,Regional Court in Ostrava,1-Jan,016201WA/XXXX
15170/2017,Municipal Court in Prague,1-Jan,0358137Z/XXXX
18978/2015,Regional Court in Hradec Kralove,1-Jan,94021076/XXXX
91204/2017,Regional Court in Ostrava,1-Jan,975204V9/XXXX
91204/2017,Regional Court in Ostrava,2-Feb,0012246G/XXXX
97801/2018,Regional Court in Brno,1-Jan,000322AL/XXXX
36629/2016,Regional Court in Ostrava,1-Jan,811126A7/XXXX
36629/2016,Regional Court in Ostrava,2-Feb,015214US/XXXX
54907/2016,Regional Court in Pilsen,1-Jan,006228XE/XXXX
64167/2016,Regional Court in Usti nad Labem,1-Jan,9010020A/XXXX
67444/2016,Regional Court in Brno,1-Jan,700215SS/XXXX
74024/2014,Regional Court in Pilsen,1-Jan,041110WZ/XXXX
79636/2016,Regional Court in Usti nad Labem,1-Jan,000225E0/XXXX
98322/2016,Regional Court in Usti nad Labem,1-Jan,015228PD/XXXX
18647/2017,Regional Court in Ostrava,1-Jan,045727UW/XXXX
18647/2017,Regional Court in Ostrava,2-Feb,04032486/XXXX
39557/2016,Regional Court in Brno,1-Jan,996217JZ/XXXX
24306/2018,Regional Court in Hradec Kralove,1-Jan,620618UQ/XXXX
22094/2014,Regional Court in Brno,1-Jan,581226ID/XXXX
22094/2014,Regional Court in Brno,2-Feb,830220ZE/XXXX
90803/2016,Regional Court in Ostrava,1-Jan,710420SE/XXXX
24255/2018,Regional Court in Brno,1-Jan,0452132R/XXXX
24255/2018,Regional Court in Brno,2-Feb,656028G0/XXXX
10552/2018,Regional Court in Ceske Budejovice,1-Jan,665903WA/XXXX
10552/2018,Regional Court in Ceske Budejovice,2-Feb,605608DL/XXXX
82412/2018,Regional Court in Hradec Kralove,1-Jan,035213GY/XXXX
13577/2016,Municipal Court in Prague,1-Jan,551103DD/XXXX
98896/2017,Regional Court in Ostrava,1-Jan,0052033B/XXXX
71101/2014,Regional Court in Hradec Kralove,1-Jan,9201234M/XXXX
29818/2014,Regional Court in Prague,1-Jan,0455219J/XXXX
52653/2014,Regional Court in Ceske Budejovice,1-Jan,770414W9/XXXX
39096/2016,Regional Court in Ceske Budejovice,1-Jan,925811M8/XXXX
41065/2016,Regional Court in Hradec Kralove,1-Jan,0257060K/XXXX
41038/2016,Regional Court in Brno,1-Jan,0055288Y/XXXX
76877/2017,Regional Court in Usti nad Labem,1-Jan,040518YU/XXXX
53007/2016,Regional Court in Ceske Budejovice,1-Jan,946106W8/XXXX
9239/2015,Regional Court in Pilsen,1-Jan,045613UT/XXXX
50613/2017,Regional Court in Pilsen,1-Jan,040513EX/XXXX
37806/2015,Regional Court in Ceske Budejovice,1-Jan,626108QL/XXXX
22119/2014,Regional Court in Ceske Budejovice,1-Jan,010106GB/XXXX
64133/2017,Regional Court in Pilsen,1-Jan,040320WG/XXXX
67107/2014,Regional Court in Prague,1-Jan,0108202Y/XXXX
86096/2018,Regional Court in Usti nad Labem,1-Jan,045708UO/XXXX
54562/2015,Regional Court in Ostrava,1-Jan,0060177X/XXXX
48925/2018,Regional Court in Pilsen,1-Jan,680718ZU/XXXX
99017/2018,Regional Court in Hradec Kralove,1-Jan,000417PL/XXXX
79675/2018,Regional Court in Pilsen,1-Jan,606002OP/XXXX
92547/2018,Regional Court in Ceske Budejovice,1-Jan,706101A5/XXXX
77406/2015,Regional Court in Usti nad Labem,1-Jan,930415P0/XXXX
76352/2018,Regional Court in Ostrava,1-Jan,855425LT/XXXX
47281/2015,Regional Court in Brno,1-Jan,015503PL/XXXX
25925/2015,Regional Court in Usti nad Labem,1-Jan,025408CF/XXXX
71972/2017,Regional Court in Usti nad Labem,1-Jan,750819HV/XXXX
71972/2017,Regional Court in Usti nad Labem,2-Feb,045513E8/XXXX
61302/2018,Regional Court in Usti nad Labem,1-Jan,036004KN/XXXX
92843/2016,Regional Court in Prague,1-Jan,8353198E/XXXX
62995/2018,Regional Court in Usti nad Labem,1-Jan,955918KV/XXXX
62995/2018,Regional Court in Usti nad Labem,2-Feb,0451136A/XXXX
90074/2014,Regional Court in Prague,1-Jan,045325IM/XXXX
90074/2014,Regional Court in Prague,2-Feb,835213IT/XXXX
42533/2015,Regional Court in Prague,1-Jan,030515NX/XXXX
11494/2018,Regional Court in Usti nad Labem,1-Jan,8559021P/XXXX
83114/2015,Regional Court in Brno,1-Jan,571112KU/XXXX
69610/2017,Regional Court in Ceske Budejovice,1-Jan,0309085S/XXXX
91147/2015,Regional Court in Ceske Budejovice,1-Jan,550726IE/XXXX
91147/2015,Regional Court in Ceske Budejovice,2-Feb,670718RP/XXXX
91954/2017,Regional Court in Ostrava,1-Jan,0257074B/XXXX
71119/2016,Regional Court in Prague,1-Jan,6312150E/XXXX
44286/2016,Regional Court in Usti nad Labem,1-Jan,720703YU/XXXX
33396/2016,Regional Court in Ostrava,1-Jan,615922DU/XXXX
84692/2016,Regional Court in Brno,1-Jan,975404FR/XXXX
91230/2017,Regional Court in Usti nad Labem,1-Jan,655803L3/XXXX
50514/2017,Municipal Court in Prague,1-Jan,036215ZI/XXXX
59901/2015,Regional Court in Ceske Budejovice,1-Jan,556117OB/XXXX
21202/2017,Regional Court in Usti nad Labem,1-Jan,00521742/XXXX
69920/2018,Regional Court in Hradec Kralove,1-Jan,69102340/XXXX
55519/2017,Regional Court in Ostrava,1-Jan,94051724/XXXX
55519/2017,Regional Court in Ostrava,2-Feb,6809046E/XXXX
89407/2017,Regional Court in Ceske Budejovice,1-Jan,010318PW/XXXX
96140/2017,Regional Court in Pilsen,1-Jan,795924GN/XXXX
40562/2016,Regional Court in Ostrava,1-Jan,750125HZ/XXXX
34586/2018,Regional Court in Brno,1-Jan,686203KU/XXXX
34586/2018,Regional Court in Brno,2-Feb,045220J2/XXXX
86561/2018,Regional Court in Prague,1-Jan,030110X2/XXXX
86561/2018,Regional Court in Prague,2-Feb,025923E9/XXXX
45062/2018,Regional Court in Prague,1-Jan,800503PW/XXXX
33275/2017,Regional Court in Usti nad Labem,1-Jan,9860037Q/XXXX
58961/2015,Regional Court in Brno,1-Jan,015422N9/XXXX
40992/2016,Regional Court in Usti nad Labem,1-Jan,895407YX/XXXX
92295/2014,Regional Court in Prague,1-Jan,005213HN/XXXX
25434/2018,Regional Court in Ceske Budejovice,1-Jan,000108XJ/XXXX
66700/2017,Regional Court in Prague,1-Jan,795118HE/XXXX
41944/2015,Regional Court in Prague,1-Jan,686105YC/XXXX
41944/2015,Regional Court in Prague,2-Feb,8803149A/XXXX
55269/2017,Regional Court in Usti nad Labem,1-Jan,025325C6/XXXX
55269/2017,Regional Court in Usti nad Labem,2-Feb,946009EE/XXXX
63108/2015,Regional Court in Pilsen,1-Jan,555514EC/XXXX
80682/2016,Regional Court in Usti nad Labem,1-Jan,946219YX/XXXX
6144/2016,Regional Court in Ostrava,1-Jan,000410SP/XXXX
15833/2016,Regional Court in Usti nad Labem,1-Jan,040313QK/XXXX
59903/2015,Regional Court in Prague,1-Jan,046006OZ/XXXX
59491/2016,Regional Court in Usti nad Labem,1-Jan,015120G0/XXXX
1861/2016,Regional Court in Hradec Kralove,1-Jan,040402B9/XXXX
15272/2016,Municipal Court in Prague,1-Jan,046123ZB/XXXX
57010/2018,Regional Court in Usti nad Labem,1-Jan,626228HL/XXXX
57010/2018,Regional Court in Usti nad Labem,2-Feb,99042036/XXXX
35034/2016,Regional Court in Usti nad Labem,1-Jan,631019VX/XXXX
16456/2014,Regional Court in Pilsen,1-Jan,035702LM/XXXX
43457/2016,Regional Court in Ceske Budejovice,1-Jan,8062191B/XXXX
44923/2018,Regional Court in Ceske Budejovice,1-Jan,000910KZ/XXXX
71028/2016,Regional Court in Pilsen,1-Jan,930228JK/XXXX
71028/2016,Regional Court in Pilsen,2-Feb,600808NS/XXXX
66543/2016,Regional Court in Usti nad Labem,1-Jan,885525K9/XXXX
78894/2018,Regional Court in Hradec Kralove,1-Jan,005925J1/XXXX
78894/2018,Regional Court in Hradec Kralove,2-Feb,680607CI/XXXX
68378/2014,Regional Court in Hradec Kralove,1-Jan,720323IF/XXXX
56897/2014,Municipal Court in Prague,1-Jan,031012JL/XXXX
62000/2016,Regional Court in Hradec Kralove,1-Jan,940512PB/XXXX
46693/2016,Regional Court in Prague,1-Jan,6156184J/XXXX
78459/2016,Regional Court in Usti nad Labem,1-Jan,020923FB/XXXX
79415/2016,Regional Court in Pilsen,1-Jan,03061635/XXXX
42497/2016,Regional Court in Prague,1-Jan,03121250/XXXX
15378/2017,Regional Court in Ostrava,1-Jan,991013KO/XXXX
15378/2017,Regional Court in Ostrava,2-Feb,686106U8/XXXX
19873/2014,Regional Court in Hradec Kralove,1-Jan,630205QT/XXXX
1973/2015,Regional Court in Pilsen,1-Jan,870514YN/XXXX
99380/2017,Regional Court in Ceske Budejovice,1-Jan,945208U4/XXXX
62503/2016,Regional Court in Ceske Budejovice,1-Jan,7355062J/XXXX
38593/2018,Regional Court in Hradec Kralove,1-Jan,725505HH/XXXX
23989/2017,Regional Court in Brno,1-Jan,88011159/XXXX
85182/2017,Regional Court in Brno,1-Jan,840716JU/XXXX
89931/2018,Regional Court in Pilsen,1-Jan,000921MR/XXXX
99184/2016,Regional Court in Usti nad Labem,1-Jan,040622BK/XXXX
5461/2017,Regional Court in Brno,1-Jan,01602177/XXXX
34205/2018,Regional Court in Usti nad Labem,1-Jan,840525RK/XXXX
27302/2015,Municipal Court in Prague,1-Jan,645925RD/XXXX
84930/2018,Regional Court in Prague,1-Jan,646211P0/XXXX
48044/2015,Regional Court in Ceske Budejovice,1-Jan,965212YL/XXXX
14994/2015,Regional Court in Pilsen,1-Jan,955824C8/XXXX
59891/2016,Regional Court in Usti nad Labem,1-Jan,766202P7/XXXX
59891/2016,Regional Court in Usti nad Labem,2-Feb,045822Y9/XXXX
2882/2015,Regional Court in Hradec Kralove,1-Jan,615820A4/XXXX
89918/2018,Regional Court in Ostrava,1-Jan,045311D2/XXXX
32934/2016,Regional Court in Prague,1-Jan,956013A1/XXXX
32934/2016,Regional Court in Prague,2-Feb,550303IQ/XXXX
5931/2018,Regional Court in Hradec Kralove,1-Jan,001127JM/XXXX
67524/2018,Regional Court in Ostrava,1-Jan,02010779/XXXX
60394/2015,Regional Court in Hradec Kralove,1-Jan,0103261V/XXXX
97698/2016,Municipal Court in Prague,1-Jan,005819V3/XXXX
17673/2018,Regional Court in Prague,1-Jan,620815QA/XXXX
69389/2018,Municipal Court in Prague,1-Jan,030501RF/XXXX
62689/2016,Municipal Court in Prague,1-Jan,8008266S/XXXX
12892/2015,Regional Court in Hradec Kralove,1-Jan,8410241T/XXXX
70588/2016,Regional Court in Usti nad Labem,1-Jan,945919D5/XXXX
48916/2016,Regional Court in Hradec Kralove,1-Jan,041225D8/XXXX
30548/2015,Regional Court in Usti nad Labem,1-Jan,8205024N/XXXX
89251/2016,Regional Court in Brno,1-Jan,00041555/XXXX
89251/2016,Regional Court in Brno,2-Feb,595206H7/XXXX
3815/2016,Regional Court in Usti nad Labem,1-Jan,015921LQ/XXXX
18295/2016,Regional Court in Brno,1-Jan,015812I3/XXXX
18295/2016,Regional Court in Brno,2-Feb,656006YI/XXXX
74726/2015,Regional Court in Prague,1-Jan,010615YA/XXXX
67507/2014,Regional Court in Usti nad Labem,1-Jan,7310229S/XXXX
29883/2014,Regional Court in Hradec Kralove,1-Jan,965419XE/XXXX
52697/2018,Regional Court in Ostrava,1-Jan,006112P9/XXXX
59224/2014,Regional Court in Usti nad Labem,1-Jan,656214Q8/XXXX
54668/2017,Municipal Court in Prague,1-Jan,8462198C/XXXX
30428/2016,Regional Court in Usti nad Labem,1-Jan,9561167I/XXXX
98722/2018,Municipal Court in Prague,1-Jan,711122U7/XXXX
22405/2018,Regional Court in Prague,1-Jan,025110IX/XXXX
42446/2015,Regional Court in Brno,1-Jan,981223N6/XXXX
42446/2015,Regional Court in Brno,2-Feb,640105XI/XXXX
91394/2018,Regional Court in Ceske Budejovice,1-Jan,9012257Q/XXXX
91394/2018,Regional Court in Ceske Budejovice,2-Feb,635116MJ/XXXX
16544/2017,Municipal Court in Prague,1-Jan,690505D8/XXXX
87479/2015,Municipal Court in Prague,1-Jan,715103J0/XXXX
76989/2018,Regional Court in Ostrava,1-Jan,94541746/XXXX
13934/2016,Regional Court in Ostrava,1-Jan,030623BS/XXXX
13934/2016,Regional Court in Ostrava,2-Feb,770714DW/XXXX
6322/2017,Regional Court in Ceske Budejovice,1-Jan,841024JS/XXXX
2675/2018,Regional Court in Brno,1-Jan,83092257/XXXX
2675/2018,Regional Court in Brno,2-Feb,925224A4/XXXX
77273/2015,Regional Court in Usti nad Labem,1-Jan,030616PV/XXXX
